年度,醫事機構代碼,院所名稱,特約類別,人工膝關節置換後90天內發生手術傷口感染之案件數,人工膝關節置換案件數,人工膝關節置換病人數,傷口感染率,人工膝關節置換醫師數,病患平均年齡,病患重大傷病比率,分母重大傷病人數,縣市別,鄉鎮別
2014年全年度,0101090517,臺北市立聯合醫院,2,3.0000,140.0000,134,2.14%,19,71.6567,8.96%,12,63000,63000060
2015年上半年度,0101090517,臺北市立聯合醫院,2,0.0000,69.0000,68,0%,17,72.8529,8.82%,6,63000,63000060
2015年全年度,0101090517,臺北市立聯合醫院,2,3.0000,161.0000,155,1.86%,20,73.1161,7.74%,12,63000,63000060
2016年上半年度,0101090517,臺北市立聯合醫院,2,3.0000,79.0000,79,3.8%,19,71.7594,13.92%,11,63000,63000060
2016年全年度,0101090517,臺北市立聯合醫院,2,4.0000,182.0000,175,2.2%,23,71.7257,9.71%,17,63000,63000060
2017年上半年度,0101090517,臺北市立聯合醫院,2,2.0000,96.0000,93,2.08%,23,70.2688,13.98%,13,63000,63000060
2017年全年度,0101090517,臺北市立聯合醫院,2,2.0000,231.0000,218,0.87%,26,71.9174,17.43%,38,63000,63000060
2018年上半年度,0101090517,臺北市立聯合醫院,2,0.0000,106.0000,104,0%,20,72.2596,15.38%,16,63000,63000060
2018年全年度,0101090517,臺北市立聯合醫院,2,3.0000,247.0000,235,1.21%,26,72.2808,13.62%,32,63000,63000060
2019年上半年度,0101090517,臺北市立聯合醫院,2,2.0000,111.0000,109,1.8%,24,72.8165,12.84%,14,63000,63000060
2019年全年度,0101090517,臺北市立聯合醫院,2,3.0000,228.0000,217,1.32%,29,72.7373,12.44%,27,63000,63000060
2020年上半年度,0101090517,臺北市立聯合醫院,2,0.0000,92.0000,88,0%,20,72.8295,9.09%,8,63000,63000060
2020年全年度,0101090517,臺北市立聯合醫院,2,2.0000,235.0000,221,0.85%,28,73.0452,12.67%,28,63000,63000060
2021年上半年度,0101090517,臺北市立聯合醫院,2,0.0000,106.0000,106,0%,23,73.3018,14.15%,15,63000,63000060
2021年全年度,0101090517,臺北市立聯合醫院,2,0.0000,205.0000,200,0%,27,72.2600,13.5%,27,63000,63000060
2022年上半年度,0101090517,臺北市立聯合醫院,2,2.0000,86.0000,86,2.33%,19,73.6395,16.28%,14,63000,63000060
2022年全年度,0101090517,臺北市立聯合醫院,2,2.0000,210.0000,197,0.95%,30,72.4720,16.75%,33,63000,63000060
2023年上半年度,0101090517,臺北市立聯合醫院,2,2.0000,159.0000,154,1.26%,23,73.4155,10.39%,16,63000,63000060
2023年全年度,0101090517,臺北市立聯合醫院,2,4.0000,321.0000,296,1.25%,26,73.1587,14.19%,42,63000,63000060
2024年上半年度,0101090517,臺北市立聯合醫院,2,2.0000,176.0000,172,1.14%,30,72.9418,17.44%,30,63000,63000060
2024年全年度,0101090517,臺北市立聯合醫院,2,4.0000,386.0000,366,1.04%,32,73.1284,15.3%,56,63000,63000060
2025年上半年度,0101090517,臺北市立聯合醫院,2,0.0000,182.0000,178,0%,26,72.3707,11.8%,21,63000,63000060
2014年全年度,0102020011,高雄市立聯合醫院,2,0.0000,22.0000,18,0%,5,73.3888,22.22%,4,64000,64000020
2015年上半年度,0102020011,高雄市立聯合醫院,2,0.0000,8.0000,8,0%,4,73.6250,0%,0,64000,64000020
2015年全年度,0102020011,高雄市立聯合醫院,2,0.0000,20.0000,19,0%,4,69.5263,0%,0,64000,64000020
2016年上半年度,0102020011,高雄市立聯合醫院,2,0.0000,14.0000,14,0%,2,68.1428,7.14%,1,64000,64000020
2016年全年度,0102020011,高雄市立聯合醫院,2,0.0000,22.0000,21,0%,2,68.3333,9.52%,2,64000,64000020
2017年全年度,0102020011,高雄市立聯合醫院,2,0.0000,10.0000,9,0%,2,72.4444,11.11%,1,64000,64000020
2018年上半年度,0102020011,高雄市立聯合醫院,2,0.0000,7.0000,7,0%,2,71.1428,14.29%,1,64000,64000020
2018年全年度,0102020011,高雄市立聯合醫院,2,0.0000,11.0000,10,0%,2,72.7000,10%,1,64000,64000020
2019年上半年度,0102020011,高雄市立聯合醫院,2,0.0000,4.0000,4,0%,2,79.7500,25%,1,64000,64000020
2019年全年度,0102020011,高雄市立聯合醫院,2,0.0000,9.0000,9,0%,3,76.2222,33.33%,3,64000,64000020
2020年上半年度,0102020011,高雄市立聯合醫院,2,0.0000,1.0000,1,0%,1,80.0000,100%,1,64000,64000020
2020年全年度,0102020011,高雄市立聯合醫院,2,0.0000,7.0000,7,0%,3,67.8571,42.86%,3,64000,64000020
2021年上半年度,0102020011,高雄市立聯合醫院,2,0.0000,6.0000,6,0%,2,68.6666,16.67%,1,64000,64000020
2021年全年度,0102020011,高雄市立聯合醫院,2,0.0000,13.0000,13,0%,3,70.6923,15.38%,2,64000,64000020
2022年上半年度,0102020011,高雄市立聯合醫院,2,0.0000,1.0000,1,0%,1,75.0000,0%,0,64000,64000020
2022年全年度,0102020011,高雄市立聯合醫院,2,0.0000,9.0000,9,0%,2,74.4444,11.11%,1,64000,64000020
2023年上半年度,0102020011,高雄市立聯合醫院,2,0.0000,11.0000,10,0%,3,76.0000,10%,1,64000,64000020
2023年全年度,0102020011,高雄市立聯合醫院,2,0.0000,16.0000,15,0%,3,75.2000,6.67%,1,64000,64000020
2024年上半年度,0102020011,高雄市立聯合醫院,2,0.0000,8.0000,8,0%,3,72.6250,0%,0,64000,64000020
2024年全年度,0102020011,高雄市立聯合醫院,2,0.0000,32.0000,32,0%,4,70.3750,9.38%,3,64000,64000020
2025年上半年度,0102020011,高雄市立聯合醫院,2,0.0000,30.0000,30,0%,2,71.6333,16.67%,5,64000,64000020
2014年全年度,0102080017,高雄市立民生醫院,3,1.0000,131.0000,122,0.76%,4,71.4344,13.11%,16,64000,64000080
2015年上半年度,0102080017,高雄市立民生醫院,3,0.0000,98.0000,93,0%,4,71.3010,5.38%,5,64000,64000080
2015年全年度,0102080017,高雄市立民生醫院,3,0.0000,181.0000,168,0%,4,70.9107,5.36%,9,64000,64000080
2016年上半年度,0102080017,高雄市立民生醫院,3,0.0000,87.0000,84,0%,4,72.2738,8.33%,7,64000,64000080
2016年全年度,0102080017,高雄市立民生醫院,3,0.0000,158.0000,149,0%,4,72.4362,12.75%,19,64000,64000080
2017年上半年度,0102080017,高雄市立民生醫院,3,0.0000,77.0000,77,0%,4,74.8701,11.69%,9,64000,64000080
2017年全年度,0102080017,高雄市立民生醫院,3,2.0000,209.0000,197,0.96%,4,73.4314,12.69%,25,64000,64000080
2018年上半年度,0102080017,高雄市立民生醫院,3,0.0000,132.0000,127,0%,4,73.4881,11.81%,15,64000,64000080
2018年全年度,0102080017,高雄市立民生醫院,3,1.0000,270.0000,256,0.37%,4,72.8398,13.67%,35,64000,64000080
2019年上半年度,0102080017,高雄市立民生醫院,3,0.0000,124.0000,122,0%,4,72.8360,16.39%,20,64000,64000080
2019年全年度,0102080017,高雄市立民生醫院,3,0.0000,215.0000,204,0%,4,72.8333,15.2%,31,64000,64000080
2020年上半年度,0102080017,高雄市立民生醫院,3,0.0000,86.0000,80,0%,6,70.9500,11.25%,9,64000,64000080
2020年全年度,0102080017,高雄市立民生醫院,3,0.0000,198.0000,185,0%,7,71.8756,10.81%,20,64000,64000080
2021年上半年度,0102080017,高雄市立民生醫院,3,0.0000,84.0000,84,0%,6,74.0714,14.29%,12,64000,64000080
2021年全年度,0102080017,高雄市立民生醫院,3,0.0000,176.0000,172,0%,6,74.3081,13.37%,23,64000,64000080
2022年上半年度,0102080017,高雄市立民生醫院,3,0.0000,72.0000,72,0%,5,73.4722,15.28%,11,64000,64000080
2022年全年度,0102080017,高雄市立民生醫院,3,0.0000,176.0000,171,0%,7,73.3918,17.54%,30,64000,64000080
2023年上半年度,0102080017,高雄市立民生醫院,3,3.0000,103.0000,100,2.91%,6,73.0400,16%,16,64000,64000080
2023年全年度,0102080017,高雄市立民生醫院,3,3.0000,182.0000,176,1.65%,6,73.5795,15.91%,28,64000,64000080
2024年上半年度,0102080017,高雄市立民生醫院,3,0.0000,85.0000,83,0%,7,73.8795,14.46%,12,64000,64000080
2024年全年度,0102080017,高雄市立民生醫院,3,1.0000,150.0000,146,.67%,7,73.8972,13.7%,20,64000,64000080
2025年上半年度,0102080017,高雄市立民生醫院,3,1.0000,71.0000,70,1.41%,6,73.1714,20%,14,64000,64000080
2025年上半年度,0107340027,高雄市立大同醫院,2,0.0000,15.0000,15,0%,3,74.4666,20%,3,64000,64000070
2014年全年度,0111070010,衛生福利部基隆醫院,2,0.0000,18.0000,18,0%,4,70.0000,11.11%,2,10017,10017070
2015年上半年度,0111070010,衛生福利部基隆醫院,2,0.0000,13.0000,13,0%,4,70.5384,0%,0,10017,10017070
2015年全年度,0111070010,衛生福利部基隆醫院,2,0.0000,23.0000,22,0%,4,71.5909,4.55%,1,10017,10017070
2016年上半年度,0111070010,衛生福利部基隆醫院,2,0.0000,7.0000,7,0%,3,73.8571,0%,0,10017,10017070
2016年全年度,0111070010,衛生福利部基隆醫院,2,0.0000,24.0000,24,0%,4,74.0000,4.17%,1,10017,10017070
2017年上半年度,0111070010,衛生福利部基隆醫院,2,0.0000,12.0000,12,0%,5,73.9166,16.67%,2,10017,10017070
2017年全年度,0111070010,衛生福利部基隆醫院,2,0.0000,32.0000,31,0%,5,71.5161,6.45%,2,10017,10017070
2018年上半年度,0111070010,衛生福利部基隆醫院,2,0.0000,16.0000,16,0%,5,73.3750,0%,0,10017,10017070
2018年全年度,0111070010,衛生福利部基隆醫院,2,0.0000,36.0000,36,0%,5,72.9166,5.56%,2,10017,10017070
2019年上半年度,0111070010,衛生福利部基隆醫院,2,0.0000,18.0000,17,0%,4,74.8235,11.76%,2,10017,10017070
2019年全年度,0111070010,衛生福利部基隆醫院,2,0.0000,35.0000,33,0%,4,73.2424,12.12%,4,10017,10017070
2020年上半年度,0111070010,衛生福利部基隆醫院,2,0.0000,13.0000,13,0%,5,71.3846,0%,0,10017,10017070
2020年全年度,0111070010,衛生福利部基隆醫院,2,0.0000,32.0000,31,0%,5,72.9354,3.23%,1,10017,10017070
2021年上半年度,0111070010,衛生福利部基隆醫院,2,0.0000,15.0000,15,0%,5,72.6000,6.67%,1,10017,10017070
2021年全年度,0111070010,衛生福利部基隆醫院,2,0.0000,36.0000,36,0%,5,72.3611,11.11%,4,10017,10017070
2022年上半年度,0111070010,衛生福利部基隆醫院,2,0.0000,15.0000,15,0%,4,70.9333,20%,3,10017,10017070
2022年全年度,0111070010,衛生福利部基隆醫院,2,0.0000,34.0000,33,0%,5,70.6363,15.15%,5,10017,10017070
2023年上半年度,0111070010,衛生福利部基隆醫院,2,0.0000,22.0000,22,0%,5,71.4090,9.09%,2,10017,10017070
2023年全年度,0111070010,衛生福利部基隆醫院,2,0.0000,47.0000,47,0%,5,71.3404,8.51%,4,10017,10017070
2024年上半年度,0111070010,衛生福利部基隆醫院,2,0.0000,30.0000,30,0%,5,73.0000,13.33%,4,10017,10017070
2024年全年度,0111070010,衛生福利部基隆醫院,2,0.0000,61.0000,60,0%,5,72.0500,11.67%,7,10017,10017070
2025年上半年度,0111070010,衛生福利部基隆醫院,2,1.0000,21.0000,21,4.76%,4,70.2857,14.29%,3,10017,10017070
2014年全年度,0117030010,衛生福利部臺中醫院,2,0.0000,33.0000,30,0%,4,69.8000,16.67%,5,66000,66000030
2015年上半年度,0117030010,衛生福利部臺中醫院,2,0.0000,14.0000,14,0%,4,78.0000,7.14%,1,66000,66000030
2015年全年度,0117030010,衛生福利部臺中醫院,2,0.0000,34.0000,32,0%,4,75.4062,9.38%,3,66000,66000030
2016年上半年度,0117030010,衛生福利部臺中醫院,2,0.0000,12.0000,12,0%,3,74.0000,25%,3,66000,66000030
2016年全年度,0117030010,衛生福利部臺中醫院,2,0.0000,27.0000,27,0%,4,76.1851,25.93%,7,66000,66000030
2017年上半年度,0117030010,衛生福利部臺中醫院,2,0.0000,10.0000,10,0%,4,73.2000,50%,5,66000,66000030
2017年全年度,0117030010,衛生福利部臺中醫院,2,0.0000,21.0000,20,0%,5,73.1000,40%,8,66000,66000030
2018年上半年度,0117030010,衛生福利部臺中醫院,2,0.0000,14.0000,13,0%,3,75.6923,30.77%,4,66000,66000030
2018年全年度,0117030010,衛生福利部臺中醫院,2,0.0000,19.0000,18,0%,3,76.0555,33.33%,6,66000,66000030
2019年上半年度,0117030010,衛生福利部臺中醫院,2,1.0000,9.0000,9,11.11%,2,68.3333,33.33%,3,66000,66000030
2019年全年度,0117030010,衛生福利部臺中醫院,2,1.0000,20.0000,20,5%,3,71.5000,30%,6,66000,66000030
2020年上半年度,0117030010,衛生福利部臺中醫院,2,0.0000,7.0000,7,0%,3,71.5714,14.29%,1,66000,66000030
2020年全年度,0117030010,衛生福利部臺中醫院,2,0.0000,20.0000,20,0%,4,70.3000,20%,4,66000,66000030
2021年上半年度,0117030010,衛生福利部臺中醫院,2,0.0000,6.0000,6,0%,3,77.6666,16.67%,1,66000,66000030
2021年全年度,0117030010,衛生福利部臺中醫院,2,0.0000,17.0000,17,0%,3,74.9411,17.65%,3,66000,66000030
2022年上半年度,0117030010,衛生福利部臺中醫院,2,0.0000,5.0000,5,0%,2,77.2000,20%,1,66000,66000030
2022年全年度,0117030010,衛生福利部臺中醫院,2,0.0000,25.0000,24,0%,3,73.5000,29.17%,7,66000,66000030
2023年上半年度,0117030010,衛生福利部臺中醫院,2,0.0000,9.0000,9,0%,4,71.7777,44.44%,4,66000,66000030
2023年全年度,0117030010,衛生福利部臺中醫院,2,0.0000,26.0000,23,0%,4,69.5652,26.09%,6,66000,66000030
2024年上半年度,0117030010,衛生福利部臺中醫院,2,0.0000,7.0000,7,0%,2,68.2857,28.57%,2,66000,66000030
2024年全年度,0117030010,衛生福利部臺中醫院,2,0.0000,17.0000,17,0%,3,72.0588,17.65%,3,66000,66000030
2025年上半年度,0117030010,衛生福利部臺中醫院,2,0.0000,14.0000,13,0%,3,76.8461,0%,0,66000,66000030
2014年全年度,0121050011,衛生福利部臺南醫院,2,0.0000,200.0000,181,0%,4,70.5138,7.73%,14,10021,67000370
2015年上半年度,0121050011,衛生福利部臺南醫院,2,0.0000,72.0000,71,0%,3,71.0281,15.49%,11,10021,67000370
2015年全年度,0121050011,衛生福利部臺南醫院,2,0.0000,194.0000,183,0%,3,71.6994,10.93%,20,10021,67000370
2016年上半年度,0121050011,衛生福利部臺南醫院,2,0.0000,82.0000,79,0%,3,71.2911,15.19%,12,10021,67000370
2016年全年度,0121050011,衛生福利部臺南醫院,2,0.0000,185.0000,176,0%,5,71.1988,10.23%,18,10021,67000370
2017年上半年度,0121050011,衛生福利部臺南醫院,2,0.0000,107.0000,105,0%,4,70.7904,16.19%,17,10021,67000370
2017年全年度,0121050011,衛生福利部臺南醫院,2,1.0000,233.0000,225,0.43%,4,70.9644,14.22%,32,10021,67000370
2018年上半年度,0121050011,衛生福利部臺南醫院,2,0.0000,97.0000,93,0%,3,72.3225,12.9%,12,10021,67000370
2018年全年度,0121050011,衛生福利部臺南醫院,2,0.0000,217.0000,197,0%,3,71.4365,9.64%,19,10021,67000370
2019年上半年度,0121050011,衛生福利部臺南醫院,2,0.0000,129.0000,129,0%,5,71.1085,14.73%,19,10021,67000370
2019年全年度,0121050011,衛生福利部臺南醫院,2,0.0000,252.0000,236,0%,6,71.1059,12.71%,30,10021,67000370
2020年上半年度,0121050011,衛生福利部臺南醫院,2,0.0000,82.0000,81,0%,4,71.6913,13.58%,11,10021,67000370
2020年全年度,0121050011,衛生福利部臺南醫院,2,1.0000,228.0000,219,0.44%,4,72.3515,12.33%,27,10021,67000370
2021年上半年度,0121050011,衛生福利部臺南醫院,2,0.0000,85.0000,84,0%,3,73.0952,8.33%,7,10021,67000370
2021年全年度,0121050011,衛生福利部臺南醫院,2,1.0000,186.0000,179,0.54%,3,72.2569,13.41%,24,10021,67000370
2022年上半年度,0121050011,衛生福利部臺南醫院,2,0.0000,87.0000,85,0%,3,72.1176,23.53%,20,10021,67000370
2022年全年度,0121050011,衛生福利部臺南醫院,2,1.0000,212.0000,203,0.47%,3,72.1330,16.75%,34,10021,67000370
2023年上半年度,0121050011,衛生福利部臺南醫院,2,0.0000,116.0000,112,0%,3,72.0535,16.07%,18,10021,67000370
2023年全年度,0121050011,衛生福利部臺南醫院,2,0.0000,248.0000,236,0%,3,72.1991,15.25%,36,10021,67000370
2024年上半年度,0121050011,衛生福利部臺南醫院,2,0.0000,131.0000,130,0%,2,72.0230,10%,13,10021,67000370
2024年全年度,0121050011,衛生福利部臺南醫院,2,0.0000,245.0000,236,0%,3,71.8686,12.29%,29,10021,67000370
2025年上半年度,0121050011,衛生福利部臺南醫院,2,0.0000,101.0000,99,0%,3,72.2121,18.18%,18,10021,67000370
2014年全年度,0122020517,衛生福利部嘉義醫院,3,0.0000,1.0000,1,0%,1,65.0000,100%,1,10020,10020020
2015年上半年度,0122020517,衛生福利部嘉義醫院,3,0.0000,5.0000,5,0%,1,71.6000,20%,1,10020,10020020
2015年全年度,0122020517,衛生福利部嘉義醫院,3,0.0000,8.0000,8,0%,1,72.0000,12.5%,1,10020,10020020
2016年上半年度,0122020517,衛生福利部嘉義醫院,3,0.0000,1.0000,1,0%,1,69.0000,0%,0,10020,10020020
2016年全年度,0122020517,衛生福利部嘉義醫院,3,0.0000,4.0000,4,0%,2,64.7500,0%,0,10020,10020020
2017年上半年度,0122020517,衛生福利部嘉義醫院,3,0.0000,3.0000,3,0%,3,73.3333,0%,0,10020,10020020
2017年全年度,0122020517,衛生福利部嘉義醫院,3,0.0000,3.0000,3,0%,3,73.3333,0%,0,10020,10020020
2018年上半年度,0122020517,衛生福利部嘉義醫院,3,0.0000,6.0000,6,0%,2,70.0000,16.67%,1,10020,10020020
2018年全年度,0122020517,衛生福利部嘉義醫院,3,0.0000,10.0000,10,0%,3,70.7000,10%,1,10020,10020020
2019年上半年度,0122020517,衛生福利部嘉義醫院,3,0.0000,5.0000,5,0%,2,67.0000,40%,2,10020,10020020
2019年全年度,0122020517,衛生福利部嘉義醫院,3,0.0000,7.0000,7,0%,3,67.7142,57.14%,4,10020,10020020
2020年上半年度,0122020517,衛生福利部嘉義醫院,3,0.0000,3.0000,2,0%,2,66.5000,0%,0,10020,10020020
2020年全年度,0122020517,衛生福利部嘉義醫院,3,0.0000,3.0000,2,0%,2,66.5000,0%,0,10020,10020020
2021年上半年度,0122020517,衛生福利部嘉義醫院,3,0.0000,1.0000,1,0%,1,65.0000,0%,0,10020,10020020
2021年全年度,0122020517,衛生福利部嘉義醫院,3,0.0000,3.0000,3,0%,1,71.6666,0%,0,10020,10020020
2022年上半年度,0122020517,衛生福利部嘉義醫院,3,0.0000,2.0000,2,0%,2,80.0000,0%,0,10020,10020020
2022年全年度,0122020517,衛生福利部嘉義醫院,3,0.0000,2.0000,2,0%,2,80.0000,0%,0,10020,10020020
2023年全年度,0122020517,衛生福利部嘉義醫院,3,0.0000,3.0000,3,0%,2,77.3333,100%,3,10020,10020020
2024年上半年度,0122020517,衛生福利部嘉義醫院,3,0.0000,1.0000,1,0%,1,66.0000,0%,0,10020,10020020
2024年全年度,0122020517,衛生福利部嘉義醫院,3,0.0000,7.0000,7,0%,2,68.2857,42.86%,3,10020,10020020
2025年上半年度,0122020517,衛生福利部嘉義醫院,3,0.0000,1.0000,1,0%,1,78.0000,0%,0,10020,10020020
2014年全年度,0131020016,新北市立聯合醫院,2,0.0000,8.0000,8,0%,4,72.5000,0%,0,65000,65000020
2015年上半年度,0131020016,新北市立聯合醫院,2,0.0000,7.0000,7,0%,3,64.4285,0%,0,65000,65000020
2015年全年度,0131020016,新北市立聯合醫院,2,0.0000,19.0000,18,0%,4,70.1666,5.56%,1,65000,65000020
2016年上半年度,0131020016,新北市立聯合醫院,2,0.0000,14.0000,14,0%,4,69.7142,14.29%,2,65000,65000020
2016年全年度,0131020016,新北市立聯合醫院,2,0.0000,36.0000,34,0%,4,70.8823,8.82%,3,65000,65000020
2017年上半年度,0131020016,新北市立聯合醫院,2,0.0000,9.0000,8,0%,3,69.2500,12.5%,1,65000,65000020
2017年全年度,0131020016,新北市立聯合醫院,2,0.0000,27.0000,23,0%,3,70.6521,4.35%,1,65000,65000020
2018年上半年度,0131020016,新北市立聯合醫院,2,0.0000,7.0000,7,0%,3,69.0000,14.29%,1,65000,65000020
2018年全年度,0131020016,新北市立聯合醫院,2,0.0000,24.0000,22,0%,4,69.5454,4.55%,1,65000,65000020
2019年上半年度,0131020016,新北市立聯合醫院,2,0.0000,20.0000,18,0%,4,73.2222,5.56%,1,65000,65000020
2019年全年度,0131020016,新北市立聯合醫院,2,0.0000,49.0000,43,0%,4,74.2325,9.3%,4,65000,65000020
2020年上半年度,0131020016,新北市立聯合醫院,2,0.0000,11.0000,9,0%,4,68.3333,22.22%,2,65000,65000020
2020年全年度,0131020016,新北市立聯合醫院,2,0.0000,47.0000,45,0%,5,72.2666,17.78%,8,65000,65000020
2021年上半年度,0131020016,新北市立聯合醫院,2,0.0000,35.0000,33,0%,5,72.9393,3.03%,1,65000,65000020
2021年全年度,0131020016,新北市立聯合醫院,2,0.0000,71.0000,65,0%,5,71.8307,9.23%,6,65000,65000020
2022年上半年度,0131020016,新北市立聯合醫院,2,1.0000,23.0000,22,4.35%,5,71.7727,4.55%,1,65000,65000020
2022年全年度,0131020016,新北市立聯合醫院,2,1.0000,77.0000,71,1.3%,5,72.4225,4.23%,3,65000,65000020
2023年上半年度,0131020016,新北市立聯合醫院,2,0.0000,49.0000,49,0%,5,74.3469,16.33%,8,65000,65000020
2023年全年度,0131020016,新北市立聯合醫院,2,1.0000,107.0000,101,.93%,5,72.5247,11.88%,12,65000,65000020
2024年上半年度,0131020016,新北市立聯合醫院,2,0.0000,49.0000,49,0%,5,73.9591,10.2%,5,65000,65000020
2024年全年度,0131020016,新北市立聯合醫院,2,0.0000,108.0000,101,0%,5,73.3465,7.92%,8,65000,65000020
2025年上半年度,0131020016,新北市立聯合醫院,2,0.0000,50.0000,49,0%,6,73.2244,6.12%,3,65000,65000020
2014年全年度,0131060010,衛生福利部樂生療養院,3,0.0000,14.0000,14,0%,2,69.7857,14.29%,2,65000,65000050
2015年上半年度,0131060010,衛生福利部樂生療養院,3,0.0000,10.0000,10,0%,1,68.8000,0%,0,65000,65000050
2015年全年度,0131060010,衛生福利部樂生療養院,3,0.0000,26.0000,26,0%,2,73.0000,15.38%,4,65000,65000050
2016年上半年度,0131060010,衛生福利部樂生療養院,3,0.0000,14.0000,13,0%,3,66.6153,15.38%,2,65000,65000050
2016年全年度,0131060010,衛生福利部樂生療養院,3,0.0000,29.0000,27,0%,3,69.4814,11.11%,3,65000,65000050
2017年上半年度,0131060010,衛生福利部樂生療養院,3,0.0000,24.0000,23,0%,3,73.0434,4.35%,1,65000,65000050
2017年全年度,0131060010,衛生福利部樂生療養院,3,0.0000,42.0000,41,0%,3,69.5121,7.32%,3,65000,65000050
2018年上半年度,0131060010,衛生福利部樂生療養院,3,0.0000,17.0000,17,0%,2,71.4117,11.76%,2,65000,65000050
2018年全年度,0131060010,衛生福利部樂生療養院,3,0.0000,35.0000,35,0%,2,69.9714,5.71%,2,65000,65000050
2019年上半年度,0131060010,衛生福利部樂生療養院,3,0.0000,16.0000,16,0%,1,70.4375,6.25%,1,65000,65000050
2019年全年度,0131060010,衛生福利部樂生療養院,3,0.0000,37.0000,37,0%,2,72.2162,5.41%,2,65000,65000050
2020年上半年度,0131060010,衛生福利部樂生療養院,3,0.0000,10.0000,10,0%,1,70.4000,10%,1,65000,65000050
2020年全年度,0131060010,衛生福利部樂生療養院,3,0.0000,25.0000,25,0%,1,70.4000,8%,2,65000,65000050
2021年上半年度,0131060010,衛生福利部樂生療養院,3,1.0000,11.0000,11,9.09%,3,70.6363,18.18%,2,65000,65000050
2021年全年度,0131060010,衛生福利部樂生療養院,3,1.0000,18.0000,18,5.56%,3,70.6111,22.22%,4,65000,65000050
2022年上半年度,0131060010,衛生福利部樂生療養院,3,0.0000,9.0000,9,0%,1,71.2222,11.11%,1,65000,65000050
2022年全年度,0131060010,衛生福利部樂生療養院,3,0.0000,26.0000,23,0%,1,72.8260,21.74%,5,65000,65000050
2023年上半年度,0131060010,衛生福利部樂生療養院,3,0.0000,16.0000,16,0%,1,75.5000,6.25%,1,65000,65000050
2023年全年度,0131060010,衛生福利部樂生療養院,3,0.0000,40.0000,37,0%,2,72.3243,10.81%,4,65000,65000050
2024年上半年度,0131060010,衛生福利部樂生療養院,3,0.0000,22.0000,22,0%,1,75.2727,31.82%,7,65000,65000050
2024年全年度,0131060010,衛生福利部樂生療養院,3,0.0000,40.0000,39,0%,1,75.7179,23.08%,9,65000,65000050
2025年上半年度,0131060010,衛生福利部樂生療養院,3,0.0000,26.0000,26,0%,1,75.0000,26.92%,7,65000,65000050
2014年全年度,0131060029,衛生福利部臺北醫院,2,0.0000,17.0000,16,0%,4,70.3125,18.75%,3,65000,65000050
2015年上半年度,0131060029,衛生福利部臺北醫院,2,0.0000,12.0000,12,0%,4,68.0833,16.67%,2,65000,65000050
2015年全年度,0131060029,衛生福利部臺北醫院,2,0.0000,24.0000,23,0%,4,70.9565,8.7%,2,65000,65000050
2016年上半年度,0131060029,衛生福利部臺北醫院,2,0.0000,11.0000,10,0%,3,73.6000,0%,0,65000,65000050
2016年全年度,0131060029,衛生福利部臺北醫院,2,0.0000,24.0000,22,0%,4,70.7272,0%,0,65000,65000050
2017年上半年度,0131060029,衛生福利部臺北醫院,2,0.0000,21.0000,21,0%,3,69.9523,19.05%,4,65000,65000050
2017年全年度,0131060029,衛生福利部臺北醫院,2,0.0000,40.0000,36,0%,3,69.5833,13.89%,5,65000,65000050
2018年上半年度,0131060029,衛生福利部臺北醫院,2,0.0000,17.0000,17,0%,4,68.2941,23.53%,4,65000,65000050
2018年全年度,0131060029,衛生福利部臺北醫院,2,0.0000,50.0000,47,0%,4,71.4680,12.77%,6,65000,65000050
2019年上半年度,0131060029,衛生福利部臺北醫院,2,1.0000,28.0000,27,3.57%,4,70.7407,18.52%,5,65000,65000050
2019年全年度,0131060029,衛生福利部臺北醫院,2,1.0000,74.0000,71,1.35%,4,71.5070,15.49%,11,65000,65000050
2020年上半年度,0131060029,衛生福利部臺北醫院,2,0.0000,16.0000,16,0%,4,70.0625,12.5%,2,65000,65000050
2020年全年度,0131060029,衛生福利部臺北醫院,2,0.0000,62.0000,60,0%,5,70.5666,8.33%,5,65000,65000050
2021年上半年度,0131060029,衛生福利部臺北醫院,2,0.0000,21.0000,20,0%,4,69.8000,5%,1,65000,65000050
2021年全年度,0131060029,衛生福利部臺北醫院,2,0.0000,48.0000,47,0%,4,68.8510,12.77%,6,65000,65000050
2022年上半年度,0131060029,衛生福利部臺北醫院,2,0.0000,39.0000,38,0%,6,70.3684,15.79%,6,65000,65000050
2022年全年度,0131060029,衛生福利部臺北醫院,2,0.0000,84.0000,81,0%,7,70.8641,16.05%,13,65000,65000050
2023年上半年度,0131060029,衛生福利部臺北醫院,2,0.0000,37.0000,37,0%,5,71.0540,13.51%,5,65000,65000050
2023年全年度,0131060029,衛生福利部臺北醫院,2,0.0000,95.0000,94,0%,5,72.5106,14.89%,14,65000,65000050
2024年上半年度,0131060029,衛生福利部臺北醫院,2,0.0000,55.0000,53,0%,7,71.1509,11.32%,6,65000,65000050
2024年全年度,0131060029,衛生福利部臺北醫院,2,0.0000,121.0000,115,0%,7,71.3913,13.04%,15,65000,65000050
2025年上半年度,0131060029,衛生福利部臺北醫院,2,0.0000,59.0000,59,0%,5,68.6271,16.95%,10,65000,65000050
2014年全年度,0132010014,衛生福利部桃園醫院,2,2.0000,108.0000,101,1.85%,9,68.3366,4.95%,5,68000,68000010
